num,totalcells,layer,SOVEREIGNT,ADMIN,ADM0_A3,ISO_N3,year,commercial_group,totaltonne,calories,proteins,fats
1,168,0.005952380952380952,Fiji,Fiji,FJI,242,2019,Sharks & rays,17.739243839285713,23061016.99107143,3725241.20625,798265.972767857
2,346,0.002890173410404624,Gabon,Gabon,GAB,266,2019,Sharks & rays,7.103661875722543,9234760.438439306,1491768.9939017342,319664.78440751444
3,55,0.01818181818181818,Republic of the Congo,Republic of the Congo,COG,178,2019,Sharks & rays,22.825357781818184,29672965.11636364,4793325.134181819,1027141.1001818182
4,70,0.014285714285714285,Equatorial Guinea,Equatorial Guinea,GNQ,226,2019,Sharks & rays,4.062980017142857,5281874.022285715,853225.8036,182834.10077142858
5,180,0.005555555555555556,Liberia,Liberia,LBR,430,2019,Sharks & rays,9.574642183333333,12447034.838333335,2010674.8584999999,430858.89825
6,183,0.00546448087431694,Cameroon,Cameroon,CMR,120,2019,Sharks & rays,22.863262278688524,29722240.96229508,4801285.07852459,1028846.8025409835
7,237,0.004219409282700422,Ivory Coast,Ivory Coast,CIV,384,2019,Sharks & rays,6.463399864978902,8402419.824472573,1357313.9716455694,290852.9939240506
8,171,0.005847953216374269,Ghana,Ghana,GHA,288,2019,Sharks & rays,23.147164883040933,30091314.34795321,4860904.625438596,1041622.419736842
9,171,0.005847953216374269,Sierra Leone,Sierra Leone,SLE,694,2019,Sharks & rays,31.172936555555555,40524817.52222222,6546316.676666667,1402782.1449999998
10,190,0.005263157894736842,United Kingdom,Falkland Islands,FLK,238,NA,NA,0,0,0,0
11,2082,4.803073967339097e-4,Argentina,Argentina,ARG,032,2019,Sharks & rays,23.849859923150817,31004817.900096063,5008470.583861671,1073243.6965417867
12,4369,2.2888532845044633e-4,Chile,Chile,CHL,152,2019,Sharks & rays,0.4602668895399405,598346.9564019226,96656.04680338751,20712.010029297322
13,306,0.0032679738562091504,Uruguay,Uruguay,URY,858,2019,Sharks & rays,4.894844366013072,6363297.675816993,1027917.3168627452,220267.99647058826
14,3559,2.809778027535825e-4,Brazil,Brazil,BRA,076,2019,Sharks & rays,6.480948606026131,8425233.18783397,1360999.2072654876,291642.6872711759
15,813,0.0012300123001230013,Peru,Peru,PER,604,2019,Sharks & rays,25.40015049200492,33020195.639606394,5334031.6033210335,1143006.7721402212
16,340,0.0029411764705882353,Ecuador,Ecuador,ECU,218,2019,Sharks & rays,39.641863306205884,51534422.298067644,8324791.2943032365,1783883.8487792648
17,166,0.006024096385542169,Suriname,Suriname,SUR,740,2019,Sharks & rays,4.980900851807229,6475171.107349399,1045989.1788795182,224140.5383313253
18,759,0.0013175230566534915,Colombia,Colombia,COL,170,2019,Sharks & rays,1.0047664980237154,1306196.44743083,211000.96458498022,45214.49241106719
19,203,0.0049261083743842365,Guyana,Guyana,GUY,328,2019,Sharks & rays,4.352192457142857,5657850.194285714,913960.4160000001,195848.66057142857
20,937,0.0010672358591248667,Venezuela,Venezuela,VEN,862,2019,Sharks & rays,12.74336583778015,16566375.589114195,2676106.8259338317,573451.4627001068
21,665,0.0015037593984962407,Panama,Panama,PAN,591,2019,Sharks & rays,0.3708501494781955,482105.1943216541,77878.53139042106,16688.256726518797
22,311,0.003215434083601286,Costa Rica,Costa Rica,CRI,188,2019,Sharks & rays,21.68642881897106,28192357.464662377,4554150.051983923,975889.2968536976
23,61,0.01639344262295082,Trinidad and Tobago,Trinidad and Tobago,TTO,780,2019,Sharks & rays,21.533927344262295,27994105.547540985,4522124.742295082,969026.7304918033
24,197,0.005076142131979695,Guinea-Bissau,Guinea-Bissau,GNB,624,2019,Sharks & rays,81.1284364467005,105466967.38071065,17036971.653807107,3650779.640101523
25,314,0.0031847133757961785,Nicaragua,Nicaragua,NIC,558,2019,Sharks & rays,2.2931792573248404,2981133.0345222927,481567.64403821644,103193.06657961782
26,83,0.012048192771084338,Gambia,Gambia,GMB,270,2019,Sharks & rays,21.633324542168676,28123321.904819276,4542998.1538554225,973499.6043975904
27,109,0.009174311926605505,El Salvador,El Salvador,SLV,222,2019,Sharks & rays,9.86572971559633,12825448.630275229,2071803.2402752293,443957.8372018349
28,34,0.029411764705882353,Togo,Togo,TGO,768,2019,Sharks & rays,8.266672029411763,10746673.638235293,1736001.1261764702,372000.2413235294
29,410,0.0024390243902439024,Nigeria,Nigeria,NGA,566,2019,Sharks & rays,63.52375324390243,82580879.21707316,13339988.18121951,2858568.8959756093
30,35,0.02857142857142857,Benin,Benin,BEN,204,2019,Sharks & rays,99.28854408571429,129075107.31142858,20850594.258,4467984.483857144
31,178,0.0056179775280898875,Guinea,Guinea,GIN,324,2019,Sharks & rays,32.58631378089888,42362207.91516854,6843125.893988764,1466384.1201404494
32,232,0.004310344827586207,Mauritania,Mauritania,MRT,478,2019,Sharks & rays,63.15253676724138,82098297.7974138,13262032.72112069,2841864.1545258625
33,9,0.1111111111111111,Western Sahara,Western Sahara,SAH,732,NA,NA,0,0,0,0
34,452,0.0022123893805309734,Algeria,Algeria,DZA,012,2019,Sharks & rays,38.793841969026545,50431994.559734516,8146706.8134955745,1745722.8886061944
35,322,0.003105590062111801,Senegal,Senegal,SEN,686,2019,Sharks & rays,16.077471298136643,20900712.68757764,3376268.972608695,723486.2084161489
36,283,0.0035335689045936395,Honduras,Honduras,HND,340,2019,Sharks & rays,0.08890474335689046,115576.16636395759,18669.996104946997,4000.7134510600704
37,127,0.007874015748031496,Guatemala,Guatemala,GTM,320,2019,Sharks & rays,6.62664664480315,8614640.638244094,1391595.7954086612,298199.0990161417
38,126,0.007936507936507936,Belize,Belize,BLZ,084,2019,Sharks & rays,6.349206349206349,8253968.253968253,1333333.3333333333,285714.2857142857
39,126,0.007936507936507936,Jamaica,Jamaica,JAM,388,2019,Sharks & rays,4.638944783333334,6030628.218333334,974178.4045000002,208752.51525000003
40,101,0.009900990099009901,United States of America,Puerto Rico,PRI,630,2019,Sharks & rays,7.524607920792078e-5,97.81990297029702,15.801676633663364,3.3860735643564355
41,317,0.0031545741324921135,Dominican Republic,Dominican Republic,DOM,214,2019,Sharks & rays,10.922854703470032,14199711.114511043,2293799.4877287066,491528.46165615146
42,246,0.0040650406504065045,Haiti,Haiti,HTI,332,2019,Sharks & rays,0.5619806447154472,730574.8381300813,118015.9353902439,25289.129012195124
43,1082,9.242144177449168e-4,Cuba,Cuba,CUB,192,2019,Sharks & rays,1.8377785240295748,2389112.081238447,385933.4900462107,82700.03358133086
44,3508,2.8506271379703536e-4,Mexico,Mexico,MEX,484,2019,Sharks & rays,18.312241212710948,23805913.57652423,3845570.654669299,824050.8545719926
45,612,0.0016339869281045752,Libya,Libya,LBY,434,2019,Sharks & rays,9.1613168251634,11909711.87271242,1923876.5332843142,412259.25713235297
46,879,0.0011376564277588168,Greece,Greece,GRC,300,2019,Sharks & rays,0.5183667305005688,673876.7496507394,108857.01340511945,23326.502872525598
47,154,0.006493506493506494,Albania,Albania,ALB,008,NA,NA,0,0,0,0
48,49,0.02040816326530612,Montenegro,Montenegro,MNE,499,2019,Sharks & rays,0.3873673469387755,503577.5510204081,81347.14285714286,17431.5306122449
49,116,0.008620689655172414,Bulgaria,Bulgaria,BGR,100,2019,Sharks & rays,1.1533496405172414,1499354.5326724136,242203.4245086207,51900.73382327586
